id,fecha,nombre,email,genero,asunto,mensaje
80242452935422199706,16/03/2024 14:55:28,Dani Castellanos Briones,dani.castellanos.briones2358@hotmail.com,M,Consulta general,". quisiera saber si existe algun simulador del haber jubilatorio. recien estoy comenzando con previsiones. un cliente quiere saber cuanto es lo que va a cobrar de haber jubilatorio, si se jubila hoy."
15409661513166318845,13/03/2024 16:13:09,Apolinar Jimenez Teruel,apolinar.jimenez.teruel6338@gmail.com,M,Consulta general,no puedo ver los videos del curso. necesito ayuda
67687345747217393942,12/03/2024 18:47:42,Evangelina Clotilde Requena Sans,evangelina.clotilde.requena.sans5853@gmail.com,F,Consulta general,"hola, me surge una duda de la ley . mujer de anos y siete meses, puede sacar unidades de cancelacion en cuotas ? hijos meses de aportes faltan meses para incorporar aportes. si bien parece conveniente esperar a que cumpla los para optar por la ley , razones politicas parecieran indicar que el beneficio de la ley no sera renovado. esta seria la razon de la pregunta. gracias"
70437236079243373753,19/09/2023 10:56:11,Evangelina Clotilde Requena Sans,evangelina.clotilde.requena.sans5853@gmail.com,F,Consulta general,estoy interesada en el curso. como pago? gracias
65048242968545317160,18/05/2023 17:29:08,Evangelina Clotilde Requena Sans,evangelina.clotilde.requena.sans5853@gmail.com,F,Consulta general,"hola, las clases ya estan gravadas? si pago tengo acceso inmediato a la capacitacion? cual combo de clases me recomiendas? soy abogada. gracias"
31425029502077933638,12/03/2024 12:00:57,María Pilar Concepción Riba Morata,maria.pilar.concepcion.riba.morata2514@yahoo.com,F,Consulta general,"buenos dias, mi pago fue realizado ayer,ya pasaron las hs y el curso no se me envio.el curso es ?como completar formularios de anses paso por paso para jubilaciones y pensiones?.por favor si me lo pueden enviar.gracias"
57924796650312364852,11/03/2024 08:51:21,Reina Itziar Ortiz Agustí,reina.itziar.ortiz.agusti9423@gmail.com,F,Consulta general,"buenos dias , necesitamos informacion sobre la compra con realizada el / que aun sigue en estado pendiente. agradeceriamos respuesta. muchas gracias"
66123757931175701003,04/03/2024 15:52:53,Calisto Morata Quesada,calisto.morata.quesada8395@hotmail.com,M,Consulta general,"buenas tardes! estoy interesado en sus cursos de derecho previsional. quisiera saber si esta abierta la inscripcion, si es completamente asincronico y las modalidades de pago. muchas gracias desde ya"
01368082654241123445,04/03/2024 00:20:04,Esmeralda de Busquets,esmeralda.de.busquets1449@yahoo.com,F,Consulta general,", yo compre el primer curso de este pack, tengo algun descuento?"
75001935087094694012,28/02/2024 14:19:40,Marina Soriano,marina.soriano5409@gmail.com,F,Consulta general,"cuando intente inscribirme, no me tomo la tarjeta credito visa, solo aparece mp, pero no uso esa aplicacion. me puen indicar como inscribirme"
